SMILES,dataset,len_smiles,mean_complexity,sa_score,sc_score,tb_depth,tb_plausibility,tb_price,tb_synthesizability
C1[C@H]2[C@H]3[C@@H](c4c(cc(OC)cc4)CC3)CC[C@@]2([C@H](NCc2cccs2)C1)C,sheridan,68,4.066666667,3.7251,3.4528,4,0.7790371087396007,30.0,Synthesizable
N1(CC(=CCC1)\C=N\OC)C(Oc1ccc(Cl)cc1)=O,sheridan,38,2.078947368,2.7218,3.237,7,0.8416677033219548,71.0,Synthesizable
c1(c(c2ccc(N(C)C)cc2)[nH]c(=O)c(c1)C(O)=O)c1ccc(O)cc1,sheridan,53,2.46,2.2174,4.041,5,0.974416667883265,13.0,Synthesizable
c1(c(N2CCN(C)CC2)ccc(c1)C)Cc1ccc(OC)cc1,sheridan,39,1.780487805,1.8725,3.5102,2,0.9971148717738388,3.0,Synthesizable
c12c(n(cn2)C)ncnc1NCc1ccccc1,sheridan,28,1.68,2.0699,3.424,1,0.7046907544136047,3.0,Synthesizable
c12c(c(c3C(c4cccc(c4C(c3c2O)=O)O)=O)O)[C@@H]([C@](CC)(O)C[C@@H]1O[C@@H]1C[C@@H]([C@H](OC2O[C@H]([C@@H](O)CC2)C)[C@@H](O1)C)N)O,sheridan,126,4.648648649,5.2928,4.4886,11,-1.0,-1.0,Unsynthesizable
c12n(C3CC3)cc(C(O)=O)c(c1cc(F)c(c2F)N1C[C@@H](OCC1)CN)=O,sheridan,56,3.0555555560000003,3.1914,4.5061,2,0.998770033900442,94.0,Synthesizable
c1(ccc(C(O)=O)cc1)OCCCNc1ccc(Cl)cc1,sheridan,35,1.553191489,1.6268,2.8196,2,0.9657571891695866,37.0,Synthesizable
N1(CCCCCC1=O)C\C=C(/C)CC\C=C(\C)C,sheridan,33,1.9444444440000002,2.5745,2.7737,4,0.6974480584793136,52.0,Synthesizable
c1(CN2CCCCC2)cc(ccc1)OC\C=C/CNC(NC)=O,sheridan,37,2.054054054,2.2894,4.3436,9,0.3149137210935201,8.0,Synthesizable
N1([C@H](C(N2[C@@H](CCC2)C=O)=O)CCC1)C(CCCOc1ccc(Oc2ccccc2)cc1)=O,sheridan,65,2.813953488,3.082,3.5964,5,0.9833737430423468,11.0,Synthesizable
c1(OC(COCCOCC[N+](C)(C)C)COCCCCCCCCCCCCCCCCCC)cccnn1,sheridan,52,2.333333333,3.4322,4.1275,4,0.8829903376678517,55.0,Synthesizable
